
映像名称                       PID 会话名              会话#       内存使用 
svchost.exe                   6372 Services                   0      2,644 K
logi_lamparray_service.ex     6380 Services                   0      4,656 K
MSOfficePLUSService.exe       6388 Services                   0     25,480 K
svchost.exe                   6396 Services                   0      2,608 K
svchost.exe                   6408 Services                   0      2,024 K
mqsvc.exe                     6452 Services                   0      4,460 K
pg_ctl.exe                    6460 Services                   0      1,956 K
mysqld.exe                    6476 Services                   0     10,084 K
jtagserver.exe                6508 Services                   0      4,352 K
TeamViewer_Service.exe        6592 Services                   0     25,100 K
svchost.exe                   6696 Services                   0      4,096 K
sshd.exe                      6824 Services                   0      1,816 K
jhi_service.exe               7128 Services                   0      1,816 K
svchost.exe                   7832 Services                   0     20,580 K
IDBWMService.exe              6960 Services                   0      3,780 K
IntelConnectService.exe       7200 Services                   0      3,856 K
svchost.exe                   6936 Services                   0      1,444 K
postgres.exe                  7460 Services                   0      2,396 K
conhost.exe                   7436 Services                   0      2,740 K
conhost.exe                   8224 Services                   0      2,760 K
conhost.exe                   8268 Services                   0      2,744 K
IDBWM.exe                     8352 Services                   0      3,676 K
IntelConnect.exe              8400 Services                   0     40,896 K
unsecapp.exe                  8624 Services                   0      5,384 K
WmiPrvSE.exe                  8756 Services                   0     18,472 K
WmiPrvSE.exe                  8764 Services                   0     39,252 K
postgres.exe                  8980 Services                   0      2,236 K
postgres.exe                  9016 Services                   0      2,248 K
crashpad_handler.exe          9332 Services                   0      1,644 K
vmware-authd.exe              9632 Services                   0      5,692 K
svchost.exe                   9640 Services                   0      2,788 K
svchost.exe                   9648 Services                   0     12,032 K
svchost.exe                   9656 Services                   0      1,608 K
WMIRegistrationService.ex     9664 Services                   0      2,644 K
wslservice.exe                9680 Services                   0     11,232 K
WifiAutoInstall.exe           9704 Services                   0      2,120 K
vmware-usbarbitrator64.ex     9712 Services                   0      3,644 K
postgres.exe                 10068 Services                   0      2,160 K
postgres.exe                 10100 Services                   0      2,812 K
postgres.exe                 10120 Services                   0      2,644 K
svchost.exe                   9864 Services                   0     11,224 K
httpd.exe                     9096 Services                   0      3,368 K
dasHost.exe                  10840 Services                   0      1,220 K
dasHost.exe                  11140 Services                   0      1,156 K
svchost.exe                  11160 Services                   0      5,412 K
svchost.exe                  12136 Services                   0     11,500 K
svchost.exe                  12256 Services                   0     25,180 K
svchost.exe                  11504 Services                   0      8,252 K
svchost.exe                   1652 Services                   0     11,512 K
svchost.exe                   3188 Services                   0      6,004 K
svchost.exe                   5368 Services                   0     57,508 K
svchost.exe                   9552 Services                   0     10,188 K
svchost.exe                   6712 Services                   0     19,216 K
svchost.exe                  11956 Services                   0     21,288 K
svchost.exe                   1440 Services                   0      2,868 K
svchost.exe                   4300 Services                   0      7,212 K
SecurityHealthService.exe     6572 Services                   0     13,736 K
svchost.exe                  11172 Services                   0     21,840 K
svchost.exe                   9612 Services                   0     17,264 K
svchost.exe                  12484 Services                   0      9,452 K
svchost.exe                   4912 Services                   0      1,812 K
svchost.exe                   5584 Services                   0      1,928 K
svchost.exe                  15536 Services                   0      3,624 K
svchost.exe                   6600 Services                   0      2,208 K
MpDefenderCoreService.exe     1492 Services                   0     19,080 K
MsMpEng.exe                  13448 Services                   0    377,500 K
NisSrv.exe                   21276 Services                   0      7,636 K
svchost.exe                  11032 Services                   0      4,424 K
svchost.exe                  28392 Services                   0      2,556 K
svchost.exe                   7644 Services                   0      2,044 K
MSPCManagerService.exe       24272 Services                   0     80,592 K
SunloginClient.exe           32200 Services                   0     19,916 K
sunlogin_guard.exe            3760 Services                   0     33,188 K
conhost.exe                  19876 Services                   0     11,748 K
csrss.exe                    12080 Console                    3      8,280 K
winlogon.exe                  5352 Console                    3     11,620 K
fontdrvhost.exe              17608 Console                    3     19,188 K
dwm.exe                      27324 Console                    3    174,616 K
svchost.exe                  24728 Services                   0      8,388 K
ipf_helper.exe               29168 Console                    3      7,340 K
sihost.exe                   17836 Console                    3     36,844 K
svchost.exe                  13108 Console                    3     10,020 K
svchost.exe                  14260 Console                    3     16,936 K
svchost.exe                  11212 Console                    3      9,992 K
svchost.exe                  12224 Console                    3      9,324 K
svchost.exe                  29644 Console                    3     24,028 K
explorer.exe                 10904 Console                    3     85,532 K
taskhostw.exe                17380 Console                    3     17,728 K
svchost.exe                  12868 Console                    3     16,228 K
SearchHost.exe               18856 Console                    3    180,876 K
StartMenuExperienceHost.e     9444 Console                    3     77,372 K
RuntimeBroker.exe             3516 Console                    3     37,112 K
RuntimeBroker.exe             5724 Console                    3     41,724 K
svchost.exe                  32608 Console                    3     11,132 K
Widgets.exe                   1484 Console                    3     46,264 K
taskhostw.exe                20284 Console                    3     25,832 K
dllhost.exe                  15660 Console                    3     14,644 K
SecurityHealthSystray.exe     9228 Console                    3     10,960 K
Taskmgr.exe                   1336 Console                    3    124,748 K
EPPCCMON.EXE                 21660 Console                    3     10,704 K
splwow64.exe                 32112 Console                    3     13,216 K
YunDetectService.exe         30560 Console                    3     16,628 K
figma_agent.exe               8200 Console                    3     21,708 K
ctfmon.exe                   16280 Console                    3     27,644 K
TabTip.exe                   26840 Console                    3     20,368 K
ChsIME.exe                   26164 Console                    3     38,012 K
TextInputHost.exe            22860 Console                    3     43,796 K
FeiQ.exe                     31740 Console                    3     14,332 K
E_YATISME.EXE                18356 Console                    3     13,676 K
ICPS.exe                     24520 Console                    3     39,028 K
IGCCTray.exe                 18344 Console                    3     27,400 K
IGCC.exe                     22900 Console                    3     28,572 K
RuntimeBroker.exe            23820 Console                    3      7,800 K
CCXProcess.exe               31044 Console                    3      3,604 K
node.exe                      7120 Console                    3     28,516 K
conhost.exe                  18916 Console                    3     11,392 K
AdobeIPCBroker.exe           22196 Console                    3     12,652 K
authenticator_helper.exe     20712 Console                    3     14,688 K
WSHelper.exe                 22360 Console                    3     14,288 K
conhost.exe                   7320 Console                    3     13,308 K
ShellExperienceHost.exe       1280 Console                    3     14,440 K
RuntimeBroker.exe            10476 Console                    3     19,872 K
GAOMONTablet.exe             22400 Console                    3     21,084 K
TabletServer.exe             16396 Console                    3     18,548 K
TabletDriver.exe             28452 Console                    3     15,324 K
WidgetService.exe            11832 Console                    3     13,208 K
msedgewebview2.exe           27496 Console                    3      8,060 K
msedgewebview2.exe           28716 Console                    3      8,388 K
msedgewebview2.exe           28812 Console                    3      4,524 K
msedgewebview2.exe           25428 Console                    3      2,720 K
msedgewebview2.exe           14508 Console                    3         16 K
msedgewebview2.exe           25988 Console                    3        664 K
Devin.exe                     1364 Console                    3    200,140 K
Devin.exe                     8568 Console                    3     16,172 K
Devin.exe                    19352 Console                    3    555,240 K
Devin.exe                    32492 Console                    3     28,808 K
Devin.exe                    22884 Console                    3  2,346,776 K
Devin.exe                    18060 Console                    3     59,420 K
Devin.exe                    32192 Console                    3     48,968 K
Devin.exe                    21632 Console                    3    158,424 K
Devin.exe                     5232 Console                    3    172,640 K
conhost.exe                  32060 Console                    3      7,220 K
pwsh.exe                      6784 Console                    3     19,772 K
conhost.exe                  20912 Console                    3      7,220 K
pwsh.exe                      6816 Console                    3     20,252 K
language_server_windows_x    16088 Console                    3  2,791,816 K
conhost.exe                  16236 Console                    3     11,300 K
devin.exe                      572 Console                    3     36,300 K
conhost.exe                  21268 Console                    3     11,392 K
devin.exe                    23744 Console                    3     32,448 K
conhost.exe                  27148 Console                    3     11,384 K
svchost.exe                   8892 Console                    3     14,504 K
svchost.exe                  30400 Console                    3     12,132 K
svchost.exe                  18080 Console                    3      9,952 K
Devin.exe                    19080 Console                    3     31,392 K
conhost.exe                  29268 Console                    3      7,224 K
pwsh.exe                     27716 Console                    3     25,740 K
conhost.exe                  26192 Console                    3      7,312 K
pwsh.exe                     21948 Console                    3     30,744 K
OfficeClickToRun.exe         25024 Services                   0     22,436 K
AppVShNotify.exe             11536 Console                    3      9,328 K
conhost.exe                  26384 Console                    3      7,240 K
pwsh.exe                      1360 Console                    3     37,392 K
SearchIndexer.exe            29052 Services                   0     42,028 K
TypeEasyTask.exe               596 Console                    3      3,612 K
conhost.exe                   4836 Console                    3      7,232 K
pwsh.exe                     31096 Console                    3     30,840 K
conhost.exe                  16156 Console                    3      7,356 K
pwsh.exe                     18512 Console                    3     40,440 K
conhost.exe                  17864 Console                    3      7,248 K
pwsh.exe                     13852 Console                    3     40,428 K
Devin.exe                    21168 Console                    3     12,428 K
conhost.exe                  19100 Console                    3      7,516 K
pwsh.exe                     30492 Console                    3     39,508 K
SDXHelper.exe                23976 Console                    3     23,824 K
conhost.exe                  29780 Console                    3      7,324 K
pwsh.exe                     29708 Console                    3     36,824 K
conhost.exe                  28408 Console                    3      7,436 K
pwsh.exe                     17388 Console                    3     52,672 K
chrome.exe                   16780 Console                    3     62,680 K
chrome.exe                   18492 Console                    3      8,820 K
chrome.exe                    6496 Console                    3     24,384 K
chrome.exe                    1356 Console                    3     31,980 K
chrome.exe                   23752 Console                    3     12,168 K
chrome.exe                   27740 Console                    3     38,744 K
chrome.exe                   30240 Console                    3     15,528 K
conhost.exe                  30376 Console                    3      7,292 K
pwsh.exe                     31344 Console                    3    111,620 K
svchost.exe                   9468 Services                   0      8,408 K
conhost.exe                   8808 Console                    3      7,344 K
pwsh.exe                     19032 Console                    3    124,792 K
conhost.exe                  26244 Console                    3      7,296 K
pwsh.exe                     11712 Console                    3    127,560 K
conhost.exe                   9208 Console                    3      7,228 K
pwsh.exe                     11680 Console                    3    117,372 K
conhost.exe                   3320 Console                    3      7,296 K
pwsh.exe                     24452 Console                    3    167,180 K
conhost.exe                  17540 Console                    3      7,268 K
pwsh.exe                     27536 Console                    3    129,040 K
conhost.exe                  22948 Console                    3      7,240 K
pwsh.exe                     26316 Console                    3    116,956 K
SunloginClient.exe           22000 Console                    3    357,836 K
conhost.exe                  17428 Console                    3      7,216 K
pwsh.exe                     16152 Console                    3    111,828 K
conhost.exe                   1236 Console                    3      7,264 K
pwsh.exe                     24024 Console                    3    118,624 K
conhost.exe                   9856 Console                    3      7,236 K
pwsh.exe                     17132 Console                    3    115,984 K
conhost.exe                   7664 Console                    3      7,240 K
pwsh.exe                     21396 Console                    3    116,124 K
SearchProtocolHost.exe       24940 Services                   0     11,780 K
conhost.exe                  18304 Console                    3      7,240 K
pwsh.exe                     20876 Console                    3    115,392 K
SearchFilterHost.exe         30328 Services                   0      8,428 K
conhost.exe                  26132 Console                    3      7,204 K
pwsh.exe                     20612 Console                    3    110,640 K
conhost.exe                  31444 Console                    3      7,200 K
pwsh.exe                     27748 Console                    3    113,276 K
svchost.exe                  14892 Services                   0     14,804 K
svchost.exe                  27512 Services                   0      7,828 K
svchost.exe                   5288 Services                   0     21,056 K
svchost.exe                   7316 Services                   0     13,536 K
conhost.exe                   4208 Console                    3      7,184 K
pwsh.exe                     15252 Console                    3    100,848 K
cmd.exe                      18352 Console                    3      4,196 K
tasklist.exe                 19884 Console                    3      9,896 K
